pair_id,role,group,mode,A_mof,B_mof,A_mean,A_between_seed_sd,B_mean,B_between_seed_sd,A_over_B,absolute_fold_difference,absolute_log_contrast,delta_total_energy_B_minus_A_K_per_CO2,delta_vdw_energy_B_minus_A_K_per_CO2,delta_coulomb_energy_B_minus_A_K_per_CO2,chargeoff_abs_log_contrast,chargeoff_contrast_retention_fraction
A3,strong_metal,metal_substitution,gcmc_0p1bar,DB0-m2_o7_o7_f0_nbo.sym.45,DB0-m3_o7_o7_f0_nbo.sym.48,0.03388539333333333,0.00026299897534654557,0.07648971333333333,0.0009875237512249194,0.44300588741475216,2.2573063437953307,0.814172219150024,-692.4402741631125,-358.678684978418,-333.7618297653617,,
A3,strong_metal,metal_substitution,gcmc_1bar,DB0-m2_o7_o7_f0_nbo.sym.45,DB0-m3_o7_o7_f0_nbo.sym.48,0.34545753333333334,0.0018381997017008947,0.7538087,0.01539601426571173,0.4582827623684011,2.1820589428937045,0.7802689002878723,-674.2693393936901,-351.8637683190336,-322.40543032885193,,
A4,cu_zn_pressure_exception,metal_substitution,henry_full,DB0-m2_o6_o27_f0_nbo.sym.30,DB0-m3_o6_o27_f0_nbo.sym.33,9.028731e-06,7.879266722861943e-08,1.4650133333333334e-05,4.66951805043447e-07,0.6162900223888748,1.6226126720724467,0.4840376106811366,,,,0.006805270181997614,0.014059383055835793
A4,cu_zn_pressure_exception,metal_substitution,henry_chargeoff,DB0-m2_o6_o27_f0_nbo.sym.30,DB0-m3_o6_o27_f0_nbo.sym.33,6.733885333333333e-06,6.419669955171816e-09,6.688215e-06,4.6136020634641145e-09,1.0068284786498838,1.0068284786498838,0.006805270181997614,,,,,
A4,cu_zn_pressure_exception,metal_substitution,gcmc_0p1bar,DB0-m2_o6_o27_f0_nbo.sym.30,DB0-m3_o6_o27_f0_nbo.sym.33,0.09446839,0.00116482060520065,0.14719953333333333,0.0008469357846574612,0.6417709884044017,1.5581882292408427,0.4435237548114144,-519.3472673542873,45.773324266235704,-565.1205490757618,,
A4,cu_zn_pressure_exception,metal_substitution,gcmc_1bar,DB0-m2_o6_o27_f0_nbo.sym.30,DB0-m3_o6_o27_f0_nbo.sym.33,0.9377243000000001,0.0013242050332180327,1.4299893333333333,0.004939000134980111,0.6557561501624255,1.5249571044851171,0.42196628145728887,-483.6192419872533,38.012812902688665,-521.6320471534048,,
B1,confirmatory_strong_linker,linker_family,henry_full,DB0-m3_o14_o22_f0_nbo.sym.46,DB0-m3_o1_o9_f0_nbo.sym.133,2.9945980000000003e-05,2.20846438488376e-06,1.576558e-05,8.778327629451976e-07,1.8994531124132448,1.8994531124132448,0.6415660091678106,,,,0.6807495028481974,1.0610747656834447
B1,confirmatory_strong_linker,linker_family,henry_chargeoff,DB0-m3_o14_o22_f0_nbo.sym.46,DB0-m3_o1_o9_f0_nbo.sym.133,1.2594836666666667e-05,7.2264813936892e-09,6.375977666666666e-06,1.225672588146317e-08,1.9753577137686547,1.9753577137686547,0.6807495028481974,,,,,
B1,confirmatory_strong_linker,linker_family,gcmc_0p1bar,DB0-m3_o14_o22_f0_nbo.sym.46,DB0-m3_o1_o9_f0_nbo.sym.133,0.32046783333333334,0.004140895459116703,0.16064523333333333,0.0013975488590147105,1.9948791923901883,1.9948791923901883,0.6905834933153989,256.52902647031624,338.2840017700173,-81.75505522035633,,
B1,confirmatory_strong_linker,linker_family,gcmc_1bar,DB0-m3_o14_o22_f0_nbo.sym.46,DB0-m3_o1_o9_f0_nbo.sym.133,2.8880546666666667,0.012279899402410917,1.50152,0.010751206629955563,1.923420711456835,1.923420711456835,0.6541052213867735,234.90685272141945,321.57765408806563,-86.67093741954625,,
B2,confirmatory_near_null_linker,linker_family,henry_full,DB1-Zn2O8N2-AZO_A-BDC_A_No205,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,1.60051e-05,9.757671033602277e-08,1.6106456666666668e-05,7.052321130899626e-08,0.9937070785484164,1.0063327730952427,0.006312805344190764,,,,0.1295646727167412,20.524103889243246
B2,confirmatory_near_null_linker,linker_family,henry_chargeoff,DB1-Zn2O8N2-AZO_A-BDC_A_No205,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,1.2594946666666666e-05,1.28010207926299e-08,1.433724e-05,2.4438189376465925e-08,0.8784777730348844,1.138332728152349,0.1295646727167412,,,,,
B2,confirmatory_near_null_linker,linker_family,gcmc_0p1bar,DB1-Zn2O8N2-AZO_A-BDC_A_No205,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,0.16144450000000002,0.0005445016345246352,0.16446596666666666,0.003337046002579725,0.9816286206325565,1.018715203470336,0.01854222888686463,34.687884942402206,-33.47974614078544,68.16780939032014,,
B2,confirmatory_near_null_linker,linker_family,gcmc_1bar,DB1-Zn2O8N2-AZO_A-BDC_A_No205,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,1.5120263333333333,0.010097878060926166,1.5072943333333333,0.0013643475852338043,1.0031394001127407,1.0031394001127407,0.0031344824857842957,40.59168865992888,-14.819284766983628,55.410815415170134,,
C1,process_discordant_linker,linker_family,henry_full,DB0-m3_o152_o155_f0_fsc.sym.27,DB0-m3_o440_o155_f0_fsc.sym.26,0.0001296752,3.322569775038595e-06,0.00011327783333333333,3.813954496757046e-06,1.1447535337157755,1.1447535337157755,0.1351893594389484,,,,0.07004446585619739,0.5181211461234086
C1,process_discordant_linker,linker_family,henry_chargeoff,DB0-m3_o152_o155_f0_fsc.sym.27,DB0-m3_o440_o155_f0_fsc.sym.26,9.791443e-05,2.4724243507133074e-07,9.129075e-05,2.360140036099591e-07,1.0725558723090785,1.0725558723090785,0.07004446585619739,,,,,
C1,process_discordant_linker,linker_family,gcmc_0p1bar,DB0-m3_o152_o155_f0_fsc.sym.27,DB0-m3_o440_o155_f0_fsc.sym.26,1.3017779999999999,0.007362095557652024,1.1520196666666667,0.0077968590043255475,1.1299963339746224,1.1299963339746224,0.12221438844874091,31.61880627383789,42.95409625410366,-11.335631272019583,,
C1,process_discordant_linker,linker_family,gcmc_1bar,DB0-m3_o152_o155_f0_fsc.sym.27,DB0-m3_o440_o155_f0_fsc.sym.26,7.6642893333333335,0.00491048738246357,7.053185666666667,0.026349713211595176,1.0866422203451613,1.0866422203451613,0.08309240984257182,28.549947057518693,79.24113147511935,-50.69127467663773,,
C2,exploratory_functional_motif,functional_motif,henry_full,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,2.337557e-05,4.830169785835693e-07,2.3114373333333333e-05,4.072048788685289e-06,1.0113001837817508,1.0113001837817508,0.011236813654193156,,,,0.0904047151283418,8.045404855014764
C2,exploratory_functional_motif,functional_motif,henry_chargeoff,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,1.7818676666666667e-05,6.004550385610297e-08,1.950463e-05,2.545014734730412e-09,0.9135613783325633,1.0946172022127345,0.0904047151283418,,,,,
C2,exploratory_functional_motif,functional_motif,gcmc_0p1bar,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,0.23473943333333333,0.0010038822258279733,0.2277337,0.0011860699094066952,1.0307628310317416,1.0307628310317416,0.03029914077550555,132.95822518630484,57.166008905921444,75.79204958591455,,
C2,exploratory_functional_motif,functional_motif,gcmc_1bar,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,2.113579,0.011920770486843452,2.157149,0.01472702274731724,0.9798020442723243,1.0206143229091507,0.020404723361872046,82.85785897415462,25.647589182729917,57.20997866039184,,
