pair_id,endpoint,mof_id,mode,pressure_pa,n_replicates,mean,between_seed_sd,between_seed_se,unit,mean_energy_total_per_co2_K,sd_energy_total_per_co2_K,mean_energy_vdw_per_co2_K,sd_energy_vdw_per_co2_K,mean_energy_coulomb_per_co2_K,sd_energy_coulomb_per_co2_K
B2,B,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,henry_chargeoff,,3,1.433724e-05,2.4438189376465925e-08,1.4109395215009655e-08,mol/kg/Pa,nan,nan,nan,nan,nan,nan
B2,B,DB1-Zn2O8N2-AZO_A-irmof6_A_No152,henry_full,,3,1.6106456666666668e-05,7.052321130899626e-08,4.071659503336585e-08,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C1,A,DB0-m3_o152_o155_f0_fsc.sym.27,gcmc_0p1bar,10000.0,3,1.3017779999999999,0.007362095557652024,0.0042505078520101445,mol/kg,-2677.1918611501014,2.922755214641744,-2438.828312005226,2.628062762939686,-238.3632115087718,1.0675391183572813
C1,A,DB0-m3_o152_o155_f0_fsc.sym.27,gcmc_1bar,100000.0,3,7.6642893333333335,0.00491048738246357,0.002835071212117603,mol/kg,-2458.4959904083225,0.6710462152540753,-2209.2644946354944,0.850971583746092,-249.23163720100953,0.20399461409550743
C1,A,DB0-m3_o152_o155_f0_fsc.sym.27,henry_chargeoff,,3,9.791443e-05,2.4724243507133074e-07,1.4274548644353137e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C1,A,DB0-m3_o152_o155_f0_fsc.sym.27,henry_full,,3,0.0001296752,3.322569775038595e-06,1.9182865540198473e-06,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C1,B,DB0-m3_o440_o155_f0_fsc.sym.26,gcmc_0p1bar,10000.0,3,1.1520196666666667,0.0077968590043255475,0.004501518644980913,mol/kg,-2645.5730548762635,9.296677235701958,-2395.8742157511224,7.559217673672084,-249.69884278079138,1.8004224905364614
C1,B,DB0-m3_o440_o155_f0_fsc.sym.26,gcmc_1bar,100000.0,3,7.053185666666667,0.026349713211595176,0.015213014015783915,mol/kg,-2429.946043350804,1.2454736239684332,-2130.023363160375,0.756302310608899,-299.92291187764727,1.18734674433836
C1,B,DB0-m3_o440_o155_f0_fsc.sym.26,henry_chargeoff,,3,9.129075e-05,2.360140036099591e-07,1.362627485167312e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C1,B,DB0-m3_o440_o155_f0_fsc.sym.26,henry_full,,3,0.00011327783333333333,3.813954496757046e-06,2.2019876553796644e-06,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C2,A,DB0-m9_o17_o27_f0_sra.sym.116,gcmc_0p1bar,10000.0,3,0.23473943333333333,0.0010038822258279733,0.0005795916733164611,mol/kg,-2332.1254730793257,12.49437280420108,-2120.1007590311497,9.539629111423828,-212.02464206877346,2.956469359906905
C2,A,DB0-m9_o17_o27_f0_sra.sym.116,gcmc_1bar,100000.0,3,2.113579,0.011920770486843452,0.006882460049526813,mol/kg,-2190.8070455395555,4.000038155044683,-1996.7874122157375,2.83206885767434,-194.0195303780423,1.8580419920924336
C2,A,DB0-m9_o17_o27_f0_sra.sym.116,henry_chargeoff,,3,1.7818676666666667e-05,6.004550385610297e-08,3.466728781494776e-08,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C2,A,DB0-m9_o17_o27_f0_sra.sym.116,henry_full,,3,2.337557e-05,4.830169785835693e-07,2.788699826083835e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C2,B,DB0-m9_o17_o27_f0_sra.sym.117,gcmc_0p1bar,10000.0,3,0.2277337,0.0011860699094066952,0.0006847777814736706,mol/kg,-2199.167247893021,8.96429877338937,-2062.934750125228,8.613903101088678,-136.2325924828589,1.6748395269704124
C2,B,DB0-m9_o17_o27_f0_sra.sym.117,gcmc_1bar,100000.0,3,2.157149,0.01472702274731724,0.008502650547525352,mol/kg,-2107.949186565401,4.774811599988497,-1971.1398230330076,2.21582317026657,-136.80955171765046,2.8593251633004115
C2,B,DB0-m9_o17_o27_f0_sra.sym.117,henry_chargeoff,,3,1.950463e-05,2.545014734730412e-09,1.4693649421881676e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
C2,B,DB0-m9_o17_o27_f0_sra.sym.117,henry_full,,3,2.3114373333333333e-05,4.072048788685289e-06,2.3509984643007415e-06,mol/kg/Pa,nan,nan,nan,nan,nan,nan
