mof_id,element,is_metal,atom_rows,charge_mean,charge_median,charge_std,charge_min,charge_max,occupancy_weighted_charge_sum
DB0-m3_o152_o155_f0_fsc.sym.27,Zn,True,2,1.0409115,1.0409115,0.008675493098377654,1.034777,1.047046,2.081823
DB0-m3_o440_o155_f0_fsc.sym.26,C,False,46,0.07766002173913043,-0.018394,0.33827185424911255,-0.278167,0.824212,3.572361
DB0-m3_o440_o155_f0_fsc.sym.26,H,False,18,0.21166561111111112,0.1759075,0.10425764167006932,0.131355,0.399649,3.809981
DB0-m3_o440_o155_f0_fsc.sym.26,N,False,2,0.1470885,0.1470885,4.94974746830097e-06,0.147085,0.147092,0.294177
DB0-m3_o440_o155_f0_fsc.sym.26,O,False,16,-0.61011175,-0.6036505000000001,0.09602585503949786,-0.736762,-0.495161,-9.761788
DB0-m3_o440_o155_f0_fsc.sym.26,Zn,True,2,1.0426345000000001,1.0426345000000001,3.5355339058773948e-06,1.042632,1.042637,2.0852690000000003
DB0-m3_o6_o27_f0_nbo.sym.33,C,False,160,0.11722026875,-0.089193,0.41768036239990053,-0.476811,0.988289,18.755243
DB0-m3_o6_o27_f0_nbo.sym.33,H,False,80,0.1885954625,0.15594750000000002,0.08964112803657402,0.057396,0.305795,15.087637
DB0-m3_o6_o27_f0_nbo.sym.33,N,False,32,-0.5109931875,-0.5085495,0.15503569318010182,-0.671143,-0.356437,-16.351782
DB0-m3_o6_o27_f0_nbo.sym.33,O,False,48,-0.6963264374999999,-0.6939854999999999,0.013273002283320455,-0.716129,-0.674455,-33.423669
DB0-m3_o6_o27_f0_nbo.sym.33,Zn,True,12,1.3277140833333332,1.3312585000000001,0.005324788215307643,1.32026,1.331516,15.932568999999999
DB0-m3_o7_o7_f0_nbo.sym.48,C,False,192,0.056190625,0.0115835,0.3213156667354702,-0.277196,0.622095,10.7886
DB0-m3_o7_o7_f0_nbo.sym.48,H,False,48,0.08523710416666667,0.0851475,0.0005226699149389302,0.084364,0.086087,4.091381
DB0-m3_o7_o7_f0_nbo.sym.48,I,False,48,0.0225501875,0.022641,0.00035024056512267016,0.021789,0.023073,1.082409
DB0-m3_o7_o7_f0_nbo.sym.48,O,False,48,-0.6564295,-0.6562965000000001,0.008342187564524211,-0.665285,-0.647721,-31.508616
DB0-m3_o7_o7_f0_nbo.sym.48,Zn,True,12,1.2955186666666667,1.2955185,0.00013787829503745944,1.295341,1.295817,15.546224
DB0-m9_o17_o27_f0_sra.sym.116,C,False,70,0.07433361428571428,0.056316000000000005,0.3543818799500971,-0.58141,0.887796,5.203353
DB0-m9_o17_o27_f0_sra.sym.116,H,False,30,0.0938295,0.11612549999999999,0.05838257945167406,-0.027374,0.172573,2.814885
DB0-m9_o17_o27_f0_sra.sym.116,N,False,10,-0.3325628,-0.3165405,0.057940630393533,-0.484984,-0.272106,-3.325628
DB0-m9_o17_o27_f0_sra.sym.116,O,False,20,-0.5046264,-0.5352049999999999,0.08180505065439676,-0.614516,-0.316109,-10.092528
DB0-m9_o17_o27_f0_sra.sym.116,V,True,4,1.34997975,1.35472,0.04655953195193584,1.294166,1.396313,5.399919
DB0-m9_o17_o27_f0_sra.sym.117,C,False,70,0.06384768571428572,-0.008907499999999999,0.3328644895294433,-0.491646,0.895248,4.4693380000000005
DB0-m9_o17_o27_f0_sra.sym.117,H,False,30,0.10113303333333333,0.11569499999999999,0.05106318016318765,-0.015979,0.197477,3.033991
DB0-m9_o17_o27_f0_sra.sym.117,N,False,10,-0.2777028,-0.31418,0.14176156443424445,-0.418104,-0.074597,-2.777028
DB0-m9_o17_o27_f0_sra.sym.117,O,False,20,-0.5037764,-0.5448545,0.08629738841288424,-0.598849,-0.321125,-10.075528
DB0-m9_o17_o27_f0_sra.sym.117,V,True,4,1.3373075,1.3349570000000002,0.04109494592201499,1.301151,1.378165,5.34923
