intervention,process,metric,groups,statistic,estimate,bootstrap_95_low,bootstrap_95_high
metal_substitution,landfill-gas-vpsa,absolute_working_capacity_difference,450,equal_weight_group_median,0.2989502500000001,0.2724449999999994,0.32263750000000013
metal_substitution,landfill-gas-vpsa,absolute_selectivity_difference,452,equal_weight_group_median,0.36052099999999965,0.31953464375000007,0.3947625062500001
metal_substitution,landfill-gas-vpsa,working_capacity_change_oriented_by_uptake,450,equal_weight_group_median,0.2911187500000001,0.2680379999999998,0.31944825
metal_substitution,landfill-gas-vpsa,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,0.3361145000000003,0.29261800000000004,0.37089000000000016
metal_substitution,landfill-gas-vpsa,uptake_working_capacity_concordant,450,equal_weight_group_mean,0.8973306878306878,0.8701480158730158,0.9224216931216931
metal_substitution,landfill-gas-vpsa,uptake_selectivity_concordant,452,equal_weight_group_mean,0.8761158519454979,0.8470623726998173,0.9035470001053518
metal_substitution,methane-storage-psa,absolute_uptake_difference,452,equal_weight_group_median,0.36202550000000056,0.3332527500000013,0.3977540000000026
metal_substitution,methane-storage-psa,absolute_working_capacity_difference,452,equal_weight_group_median,0.3492659999999992,0.31479500000000016,0.3838735
metal_substitution,methane-storage-psa,absolute_selectivity_difference,0,equal_weight_group_median,,,
metal_substitution,methane-storage-psa,working_capacity_change_oriented_by_uptake,452,equal_weight_group_median,0.3425579999999995,0.3121290000000003,0.38124049999999965
metal_substitution,methane-storage-psa,selectivity_change_oriented_by_uptake,0,equal_weight_group_median,,,
metal_substitution,methane-storage-psa,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.9167807978648688,0.8928130267593762,0.9388100505689002
metal_substitution,methane-storage-psa,uptake_selectivity_concordant,0,equal_weight_group_mean,,,
metal_substitution,natural-gas-purification,absolute_uptake_difference,452,equal_weight_group_median,0.31107799999999997,0.28109400000000007,0.33393649999999997
metal_substitution,natural-gas-purification,absolute_working_capacity_difference,442,equal_weight_group_median,0.2881665,0.25856932500000007,0.31307399999999985
metal_substitution,natural-gas-purification,absolute_selectivity_difference,452,equal_weight_group_median,0.6804810000000006,0.620244,0.7477042500000001
metal_substitution,natural-gas-purification,working_capacity_change_oriented_by_uptake,442,equal_weight_group_median,0.27350999999999986,0.25059699999999996,0.31275900000000023
metal_substitution,natural-gas-purification,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,0.6674849999999999,0.5907149999999999,0.7259600249999999
metal_substitution,natural-gas-purification,uptake_working_capacity_concordant,442,equal_weight_group_mean,0.9247693194925029,0.9022613898500575,0.9458769186407594
metal_substitution,natural-gas-purification,uptake_selectivity_concordant,452,equal_weight_group_mean,0.91725400337126,0.8931028102612726,0.9400819110830172
metal_substitution,post-combustion-vsa,absolute_uptake_difference,452,equal_weight_group_median,0.09463299999999991,0.08318249999999988,0.11170000000000002
metal_substitution,post-combustion-vsa,absolute_working_capacity_difference,451,equal_weight_group_median,0.09115299999999998,0.07880400000000001,0.10307699999999997
metal_substitution,post-combustion-vsa,absolute_selectivity_difference,452,equal_weight_group_median,2.923745,2.4752175000000003,3.5142074999999977
metal_substitution,post-combustion-vsa,working_capacity_change_oriented_by_uptake,451,equal_weight_group_median,0.0844125,0.07331900000000001,0.09691500000000003
metal_substitution,post-combustion-vsa,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,2.3903499999999998,1.7983384375000004,2.9443824999999997
metal_substitution,post-combustion-vsa,uptake_working_capacity_concordant,451,equal_weight_group_mean,0.9253088375039594,0.902473075704783,0.9460041178333861
metal_substitution,post-combustion-vsa,uptake_selectivity_concordant,452,equal_weight_group_mean,0.8403023598820059,0.8082955383480825,0.8705023967551623
metal_substitution,pre-combustion-40-40,absolute_uptake_difference,452,equal_weight_group_median,0.5278645000000015,0.48293500000000034,0.5854710000000019
metal_substitution,pre-combustion-40-40,absolute_working_capacity_difference,452,equal_weight_group_median,0.6247699999999998,0.5767619999999989,0.6890917500000002
metal_substitution,pre-combustion-40-40,absolute_selectivity_difference,452,equal_weight_group_median,6.757915499999996,5.8140730000000005,8.020383
metal_substitution,pre-combustion-40-40,working_capacity_change_oriented_by_uptake,452,equal_weight_group_median,0.6220374999999994,0.5693389999999994,0.6890917500000002
metal_substitution,pre-combustion-40-40,selectivity_change_oriented_by_uptake,452,equal_weight_group_median,1.6248914999999993,1.094048,2.1902739999999987
metal_substitution,pre-combustion-40-40,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.8933154235145384,0.8661759903076275,0.9191268963337548
metal_substitution,pre-combustion-40-40,uptake_selectivity_concordant,452,equal_weight_group_mean,0.6825712881022616,0.6424775688298918,0.722359267453294
