target,T/K,p/bar,effect_measure,status,mixed_support_cells,chemistry_pairs,control_pairs,unadjusted_linker_minus_control,unadjusted_bootstrap_95_low,unadjusted_bootstrap_95_high,adjusted_linker_minus_control,adjusted_bootstrap_95_low,adjusted_bootstrap_95_high,adjustment_change,relative_adjustment_change,adjusted_design_condition_number,failed_bootstrap_replicates
post_combustion_CO2,298.0,0.015,absolute_log_difference,OK,36,4337,4585,0.02652530938762053,0.00799616456496722,0.044530597853630303,0.0200128743096101,-0.0073619729192923354,0.04586403174030663,-0.006512435078010428,-0.2455177801262446,11.806935635574932,0
post_combustion_CO2,298.0,0.15,absolute_log_difference,OK,36,4337,4585,0.04487139118854226,0.025288661254974195,0.0674684981550444,0.019030374865032982,0.0039745306935684835,0.03462353437429141,-0.02584101632350928,-0.5758906875636983,11.806935635574932,0
post_combustion_N2,298.0,0.075,absolute_log_difference,OK,36,4337,4585,0.013318989596550713,0.007208904731954027,0.01975349184330033,0.01000576474357034,-0.0007978354410117126,0.02063194553076205,-0.003313224852980374,-0.24875947450536462,11.806935635574932,0
post_combustion_N2,298.0,0.75,absolute_log_difference,OK,36,4337,4585,0.005967883187767102,0.0010066836985218087,0.01061526349130684,0.00806161187814174,0.002655844565251354,0.013880760776485082,0.0020937286903746372,0.35083271982708003,11.806935635574932,0
pre_combustion_CO2,313.0,0.4,absolute_log_difference,OK,36,4337,4585,0.038374786973045735,0.018578264003084766,0.058140480936733255,0.007887444020429388,-0.012947453475952353,0.02554189064509502,-0.030487342952616348,-0.79446285849171,11.806935635574932,0
pre_combustion_CO2,313.0,16.0,absolute_log_difference,OK,36,4334,4582,0.012888856287914457,0.008117920101503326,0.017167433059709605,0.005531532120873913,0.000414353565180568,0.010005394586052338,-0.007357324167040544,-0.5708283188741358,11.7709983578363,0
pre_combustion_H2,313.0,0.6,absolute_log_difference,OK,36,4337,4585,0.023691073353491302,0.017527549495562855,0.03005421726243812,0.010235282647741133,0.004564058102315659,0.016050060547219913,-0.013455790705750169,-0.5679688085456549,11.806935635574932,0
pre_combustion_H2,313.0,24.0,absolute_log_difference,OK,36,4334,4582,0.03337498098188602,0.026460034104351705,0.04019232720980835,0.006793459655783722,-0.0007167041662188879,0.014414767989818772,-0.0265815213261023,-0.7964505310288922,11.7709983578363,0
landfill_CH4,338.0,0.01,standardized_absolute_difference,OK,36,4337,4585,0.08523066067476498,0.0556027005579841,0.11782496864211026,0.061323627039864846,0.03335514967741942,0.08901234111055693,-0.023907033634900134,-0.28049804431445063,11.806935635574932,0
landfill_CH4,338.0,4.4,standardized_absolute_difference,OK,36,4337,4585,0.05493122448773043,0.03249578933161291,0.07688340182625888,0.03826643690303579,0.012361094432626476,0.062052089598735274,-0.01666478758469464,-0.3033754979996291,11.806935635574932,0
landfill_CO2,338.0,0.26,standardized_absolute_difference,OK,36,4337,4585,0.11556587787512881,0.06988327909326414,0.1672547184138059,0.07011932458655726,0.03636878802189557,0.10525929009577972,-0.045446553288571556,-0.3932523520279701,11.806935635574932,0
landfill_CO2,338.0,3.2,standardized_absolute_difference,OK,36,4337,4585,0.05822675421196198,0.039156007281356826,0.07976180546554973,0.034030892150399075,0.012501528236993253,0.052097918360787386,-0.024195862061562906,-0.4155454376433739,11.806935635574932,0
methane_purification_CH4,298.0,0.9,standardized_absolute_difference,OK,36,4337,4585,0.08644260238184855,0.0465369183939705,0.1308539088863967,0.0471995588652768,0.020974279798747848,0.07395254545038774,-0.03924304351657175,-0.45397804364126954,11.806935635574932,0
methane_purification_CH4,298.0,9.0,standardized_absolute_difference,OK,36,4337,4585,0.058278039009018505,0.04459427268404115,0.07279859933085261,0.05136824461511653,0.03587508689474593,0.06734820010135949,-0.006909794393901977,-0.11856600721984982,11.806935635574932,0
methane_purification_CO2,298.0,0.1,standardized_absolute_difference,OK,36,4337,4585,0.10358155931079842,0.05858506467560696,0.1606161067839509,0.05795884886914275,0.030895146947009403,0.08691684877312449,-0.04562271044165567,-0.4404520529060956,11.806935635574932,0
methane_purification_CO2,298.0,1.0,standardized_absolute_difference,OK,36,4337,4585,0.038402537517794225,0.017932702317729716,0.05983785653051565,0.03249745688453093,0.013047560846100533,0.05142724868731197,-0.005905080633263296,-0.15376798031971492,11.806935635574932,0
methane_storage_CH4,298.0,5.8,standardized_absolute_difference,OK,36,4337,4585,0.08749336297070825,0.06333243725720682,0.1151052845036194,0.055763195436760254,0.036773944445175115,0.07448691107790276,-0.031730167533948,-0.3626579943506216,11.806935635574932,0
methane_storage_CH4,298.0,65.0,standardized_absolute_difference,OK,36,4337,4585,0.03158994915112046,0.023685632447902446,0.040695455624440796,0.0049747467468277545,-0.003075002899306798,0.012782639351315381,-0.026615202404292708,-0.8425212170165426,11.806935635574932,0
