intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,61,9006,4585,0.02648057514746833,0.01776396068460545,0.036819377967876876,0.7868852459016393,above_control
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,61,9006,4585,0.03785499505781892,0.019851049575032573,0.04983128160216799,0.7540983606557377,above_control
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_uptake_difference,61,9006,4585,0.07285649999999966,0.03640800000000022,0.0989195000000005,0.7540983606557377,above_control
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,61,9006,4585,0.00999947404831758,0.0042388382915381495,0.017392986506306496,0.7049180327868853,above_control
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,61,9006,4585,0.053331816764806056,0.02937819505645148,0.07241023997126252,0.7540983606557377,above_control
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_uptake_difference,61,9006,4585,0.011193000000000008,0.006156000000000009,0.016175999999999982,0.7868852459016393,above_control
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,61,9006,4585,0.029547924797178715,0.017178535321229316,0.04190427393237972,0.7704918032786885,above_control
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,61,9006,4585,0.025710310784487357,0.01723438415223881,0.03715625723665386,0.7868852459016393,above_control
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_uptake_difference,61,9006,4585,0.04240400000000011,0.01993400000000012,0.05730499999999994,0.7213114754098361,above_control
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,61,9006,4585,0.01952253909504742,0.008854559846858567,0.02639005775631842,0.7213114754098361,above_control
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,61,9006,4585,0.028909941782621573,0.01679447813654858,0.039069055132844165,0.7213114754098361,above_control
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_uptake_difference,61,9006,4585,0.08766750000000001,0.05609200000000003,0.0974775000000001,0.8360655737704918,above_control
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,61,9006,4585,0.018441620414967774,0.014322979444764017,0.024340959273549234,0.8032786885245902,above_control
linker_family_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,61,9006,4585,0.0567220825115263,0.03637349842976851,0.06306928791190931,0.8360655737704918,above_control
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_uptake_difference,61,9006,4585,0.21501849999999934,0.14235499999999757,0.2566289999999998,0.7704918032786885,above_control
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,61,9006,4585,0.009191446415965254,0.0077300884063127295,0.01216598770084043,0.8032786885245902,above_control
linker_family_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,61,9006,4585,0.03190017139773511,0.021119805501966193,0.038094392039538676,0.7704918032786885,above_control
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_uptake_difference,61,9006,4585,0.002013999999999988,0.0011989999999999917,0.003646500000000004,0.7540983606557377,above_control
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,61,9006,4585,0.025893209494085356,0.01064731244743955,0.04436431018200937,0.6721311475409836,above_control
linker_family_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,61,9006,4585,0.02707093090744217,0.017198240365477818,0.04901397693842531,0.7540983606557377,above_control
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_uptake_difference,61,9006,4585,0.017549999999999996,0.01229050000000001,0.042062000000000044,0.7704918032786885,above_control
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,61,9006,4585,0.05293566480184776,0.03529630688898716,0.06513674114030568,0.8032786885245902,above_control
