object,basename,required,path,sha256,size_bytes,rows,columns_count,columns
residual_adjustment,03_results.csv,True,Step 2 results\residual_adjustment\03_results.csv,e6cc18bdae556700a54fea45e3b10f12fc4306bfc2cc4e16a6ac1be7df75e4d6,9758,36,18,"[""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""status"", ""mixed_support_cells"", ""chemistry_pairs"", ""control_pairs"", ""unadjusted_linker_minus_control"", ""unadjusted_bootstrap_95_low"", ""unadjusted_bootstrap_95_high"", ""adjusted_linker_minus_control"", ""adjusted_bootstrap_95_low"", ""adjusted_bootstrap_95_high"", ""adjustment_change"", ""relative_adjustment_change"", ""adjusted_design_condition_number"", ""failed_bootstrap_replicates""]"
residual_adjustment,03_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\03_effects\03_results.csv,e6cc18bdae556700a54fea45e3b10f12fc4306bfc2cc4e16a6ac1be7df75e4d6,9758,36,18,"[""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""status"", ""mixed_support_cells"", ""chemistry_pairs"", ""control_pairs"", ""unadjusted_linker_minus_control"", ""unadjusted_bootstrap_95_low"", ""unadjusted_bootstrap_95_high"", ""adjusted_linker_minus_control"", ""adjusted_bootstrap_95_low"", ""adjusted_bootstrap_95_high"", ""adjustment_change"", ""relative_adjustment_change"", ""adjusted_design_condition_number"", ""failed_bootstrap_replicates""]"
balance,04_balance.csv,True,Step 2 results\balance_family_dominance\04_balance.csv,f6eca5efde2e71da03167d6c6e50b33e7092ce047352f1180a3ceb5bbf81ba2a,3750,21,12,"[""intervention"", ""geometry_variable"", ""chemistry_pairs"", ""control_pairs"", ""global_smd"", ""absolute_global_smd"", ""mixed_cells_with_estimable_smd"", ""median_cell_smd"", ""median_absolute_cell_smd"", ""maximum_absolute_cell_smd"", ""fraction_cells_abs_smd_below_0_10"", ""fraction_cells_abs_smd_below_0_20""]"
balance,04_balance.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\02_matching\04_balance.csv,f6eca5efde2e71da03167d6c6e50b33e7092ce047352f1180a3ceb5bbf81ba2a,3750,21,12,"[""intervention"", ""geometry_variable"", ""chemistry_pairs"", ""control_pairs"", ""global_smd"", ""absolute_global_smd"", ""mixed_cells_with_estimable_smd"", ""median_cell_smd"", ""median_absolute_cell_smd"", ""maximum_absolute_cell_smd"", ""fraction_cells_abs_smd_below_0_10"", ""fraction_cells_abs_smd_below_0_20""]"
family_exclusion,04_family_exclusion_results.csv,True,Step 2 results\balance_family_dominance\04_family_exclusion_results.csv,223cdcbe2af724382920048ce4a9a5c74d2fb39078999c5d82a98ceaeb6a995a,34127,216,10,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""scenario"", ""groups"", ""median_effect"", ""bootstrap_95_low"", ""bootstrap_95_high""]"
family_exclusion,04_family_exclusion_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\05_robustness_transfer\04_family_exclusion_results.csv,223cdcbe2af724382920048ce4a9a5c74d2fb39078999c5d82a98ceaeb6a995a,34127,216,10,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""scenario"", ""groups"", ""median_effect"", ""bootstrap_95_low"", ""bootstrap_95_high""]"
family_exclusion_summary,04_family_exclusion_summary.csv,True,Step 2 results\balance_family_dominance\04_family_exclusion_summary.csv,9306dad61cffbd7a09c1a9a2cf7c45a375773d3edea6d42a58563d51b666c74c,856,4,10,"[""intervention"", ""effect_measure"", ""conditions"", ""all_positive"", ""exclude_largest_positive"", ""exclude_top10_positive"", ""median_abs_relative_change_excluding_largest"", ""max_abs_relative_change_excluding_largest"", ""median_abs_relative_change_excluding_top10"", ""max_abs_relative_change_excluding_top10""]"
family_exclusion_summary,04_family_exclusion_summary.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\05_robustness_transfer\04_family_exclusion_summary.csv,9306dad61cffbd7a09c1a9a2cf7c45a375773d3edea6d42a58563d51b666c74c,856,4,10,"[""intervention"", ""effect_measure"", ""conditions"", ""all_positive"", ""exclude_largest_positive"", ""exclude_top10_positive"", ""median_abs_relative_change_excluding_largest"", ""max_abs_relative_change_excluding_largest"", ""median_abs_relative_change_excluding_top10"", ""max_abs_relative_change_excluding_top10""]"
reciprocal_matching,reciprocal_covariance_matching_summary.csv,True,analysis\reciprocal_covariance_matching_summary.csv,a143ef8d2814bf1d0b386e1f2ce47dcfbc73e480949531b037c8250891caa0a9,479,3,9,"[""intervention"", ""eligible_stringent_pairs"", ""eligible_exact_changes"", ""eligible_framework_variants"", ""selected_pairs"", ""selected_exact_changes"", ""median_covariance_distance"", ""maximum_covariance_distance"", ""selected_fraction""]"
reciprocal_matching,reciprocal_covariance_matching_summary.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\05_robustness_transfer\reciprocal_covariance_matching_summary.csv,a143ef8d2814bf1d0b386e1f2ce47dcfbc73e480949531b037c8250891caa0a9,479,3,9,"[""intervention"", ""eligible_stringent_pairs"", ""eligible_exact_changes"", ""eligible_framework_variants"", ""selected_pairs"", ""selected_exact_changes"", ""median_covariance_distance"", ""maximum_covariance_distance"", ""selected_fraction""]"
